date,flow,pressure
2/11/2023 23:00,136,14.5
2/12/2023 0:00,116,14.5
2/12/2023 1:00,116,15
2/12/2023 2:00,128,16
2/12/2023 3:00,108,16.5
2/12/2023 4:00,120,17
2/12/2023 5:00,116,16
2/12/2023 6:00,112,15.5
2/12/2023 7:00,144,14
2/12/2023 8:00,132,14
2/12/2023 9:00,164,14.5
2/12/2023 10:00,160,14.5
2/12/2023 11:00,144,14
2/12/2023 12:00,140,14
2/12/2023 13:00,136,14.5
2/12/2023 14:00,132,14.5
2/12/2023 15:00,132,14.5
2/12/2023 16:00,136,13.5
2/12/2023 17:00,128,13
2/12/2023 18:00,164,13
2/12/2023 19:00,148,14
2/12/2023 20:00,140,14
2/12/2023 21:00,148,14
2/12/2023 22:00,128,14
2/12/2023 23:00,128,15
2/13/2023 0:00,116,14.5
2/13/2023 1:00,120,15.5
2/13/2023 2:00,124,16
2/13/2023 3:00,112,16.5
2/13/2023 4:00,104,17
2/13/2023 5:00,112,16.5
2/13/2023 6:00,108,14
2/13/2023 7:00,128,14
2/13/2023 8:00,116,14.5
2/13/2023 9:00,136,14.5
2/13/2023 10:00,144,14
2/13/2023 11:00,156,14
2/13/2023 12:00,136,14
2/13/2023 13:00,152,14.5
2/13/2023 14:00,132,15
2/13/2023 15:00,136,15
2/13/2023 16:00,140,15
2/13/2023 17:00,160,14.5
2/13/2023 18:00,164,14
2/13/2023 19:00,176,14
2/13/2023 20:00,148,14
2/13/2023 21:00,136,14
2/13/2023 22:00,132,14.5
2/13/2023 23:00,120,16
2/14/2023 0:00,128,15
2/14/2023 1:00,116,16
2/14/2023 2:00,108,17
2/14/2023 3:00,112,17.5
2/14/2023 4:00,112,17.5
2/14/2023 5:00,112,17
2/14/2023 6:00,112,14.5
2/14/2023 7:00,128,14
2/14/2023 8:00,164,15
2/14/2023 9:00,140,15.5
2/14/2023 10:00,128,15.5
2/14/2023 11:00,164,16
2/14/2023 12:00,160,16
2/14/2023 13:00,152,15.5
2/14/2023 14:00,148,16
2/14/2023 15:00,148,15.5
2/14/2023 16:00,148,15.5
2/14/2023 17:00,148,14.5
2/14/2023 18:00,160,14
2/14/2023 19:00,136,14.5
2/14/2023 20:00,152,15
2/14/2023 21:00,156,15
2/14/2023 22:00,144,15
2/14/2023 23:00,124,15
2/15/2023 0:00,96,15
2/15/2023 1:00,112,16
2/15/2023 2:00,112,16.5
2/15/2023 3:00,108,17
2/15/2023 4:00,100,17
2/15/2023 5:00,104,16.5
2/15/2023 6:00,120,16.5
2/15/2023 7:00,124,14.5
2/15/2023 8:00,148,15.5
2/15/2023 9:00,144,16.5
2/15/2023 10:00,144,17.5
2/15/2023 11:00,140,17
2/15/2023 12:00,136,16.5
2/15/2023 13:00,136,16.5
2/15/2023 14:00,124,16.5
2/15/2023 15:00,128,16.5
2/15/2023 16:00,136,16
2/15/2023 17:00,120,15
2/15/2023 18:00,148,15.5
2/15/2023 19:00,160,15
2/15/2023 20:00,152,14.5
2/15/2023 21:00,128,15
2/15/2023 22:00,132,15
2/15/2023 23:00,112,14.5
2/16/2023 0:00,112,15
2/16/2023 1:00,96,16
2/16/2023 2:00,108,17
2/16/2023 3:00,104,17
2/16/2023 4:00,100,17.5
2/16/2023 5:00,100,17
2/16/2023 6:00,108,15.5
2/16/2023 7:00,128,14
2/16/2023 8:00,128,15
2/16/2023 9:00,140,14.5
2/16/2023 10:00,140,15
2/16/2023 11:00,128,14.5
2/16/2023 12:00,132,14.5
2/16/2023 13:00,148,15
2/16/2023 14:00,128,14.5
2/16/2023 15:00,152,17
2/16/2023 16:00,160,17
2/16/2023 17:00,140,14
2/16/2023 18:00,124,13.5
2/16/2023 19:00,156,14
2/16/2023 20:00,144,14
2/16/2023 21:00,144,14
2/16/2023 22:00,128,14
2/16/2023 23:00,112,14
2/17/2023 0:00,108,15
2/17/2023 1:00,108,15.5
2/17/2023 2:00,108,16
2/17/2023 3:00,108,17
2/17/2023 4:00,108,17
2/17/2023 5:00,104,16
2/17/2023 6:00,124,15.5
2/17/2023 7:00,136,14
2/17/2023 8:00,148,14.5
2/17/2023 9:00,136,14.5
2/17/2023 10:00,148,14.5
2/17/2023 11:00,124,14.5
2/17/2023 12:00,160,14
2/17/2023 13:00,156,14.5
2/17/2023 14:00,128,14.5
2/17/2023 15:00,132,15
2/17/2023 16:00,128,15
2/17/2023 17:00,132,14
2/17/2023 18:00,132,14
2/17/2023 19:00,144,14.5
2/17/2023 20:00,148,14.5
2/17/2023 21:00,148,15
2/17/2023 22:00,128,14.5
2/17/2023 23:00,112,14
2/18/2023 0:00,124,15
2/18/2023 1:00,104,16
2/18/2023 2:00,112,16.5
2/18/2023 3:00,112,17.5
2/18/2023 4:00,108,17
2/18/2023 5:00,116,16.5
2/18/2023 6:00,128,15.5
2/18/2023 7:00,120,14.5
2/18/2023 8:00,160,15
2/18/2023 9:00,156,14.5
2/18/2023 10:00,136,14.5
2/18/2023 11:00,164,14
2/18/2023 12:00,148,14
2/18/2023 13:00,144,14.5
2/18/2023 14:00,124,14.5
2/18/2023 15:00,144,14.5
2/18/2023 16:00,136,14
2/18/2023 17:00,140,14
2/18/2023 18:00,156,14
2/18/2023 19:00,160,14.5
2/18/2023 20:00,168,15
2/18/2023 21:00,132,15
2/18/2023 22:00,132,14.5
2/18/2023 23:00,116,14
2/19/2023 0:00,104,15
2/19/2023 1:00,112,15.5
2/19/2023 2:00,116,16.5
2/19/2023 3:00,112,17
2/19/2023 4:00,104,17.5
2/19/2023 5:00,108,16.5
2/19/2023 6:00,108,16
2/19/2023 7:00,132,14.5
2/19/2023 8:00,140,13
2/19/2023 9:00,148,13.5
2/19/2023 10:00,136,13.5
2/19/2023 11:00,132,13.5
2/19/2023 12:00,156,14
2/19/2023 13:00,128,14
2/19/2023 14:00,144,14.5
2/19/2023 15:00,128,14
2/19/2023 16:00,112,14
2/19/2023 17:00,168,13.5
2/19/2023 18:00,144,14
2/19/2023 19:00,112,13.5
2/19/2023 20:00,132,14
2/19/2023 21:00,124,14
2/19/2023 22:00,120,13.5
2/19/2023 23:00,120,14
2/20/2023 0:00,104,14.5
2/20/2023 1:00,112,15
2/20/2023 2:00,108,16
2/20/2023 3:00,108,16.5
2/20/2023 4:00,104,16.5
2/20/2023 5:00,112,16
2/20/2023 6:00,112,15
2/20/2023 7:00,136,14
2/20/2023 8:00,132,14.5
2/20/2023 9:00,136,15
2/20/2023 10:00,136,14
2/20/2023 11:00,148,14
2/20/2023 12:00,160,14.5
2/20/2023 13:00,136,14.5
2/20/2023 14:00,136,15
2/20/2023 15:00,136,15
2/20/2023 16:00,140,15
2/20/2023 17:00,144,14
2/20/2023 18:00,160,13.5
2/20/2023 19:00,132,14
2/20/2023 20:00,140,13.5
2/20/2023 21:00,136,14
2/20/2023 22:00,144,14
2/20/2023 23:00,120,14
2/21/2023 0:00,116,14.5
2/21/2023 1:00,116,15.5
2/21/2023 2:00,108,16
2/21/2023 3:00,116,17
2/21/2023 4:00,112,17
2/21/2023 5:00,104,16.5
2/21/2023 6:00,124,16
2/21/2023 7:00,140,13.5
2/21/2023 8:00,136,14
2/21/2023 9:00,124,14
2/21/2023 10:00,128,13.5
2/21/2023 11:00,132,13
2/21/2023 12:00,132,13
2/21/2023 13:00,132,14
2/21/2023 14:00,144,14
2/21/2023 15:00,128,14.5
2/21/2023 16:00,140,14
2/21/2023 17:00,148,14
2/21/2023 18:00,132,14
2/21/2023 19:00,168,14.5
2/21/2023 20:00,148,14.5
2/21/2023 21:00,128,14.5
2/21/2023 22:00,144,14.5
2/21/2023 23:00,124,15
2/22/2023 0:00,124,15
2/22/2023 1:00,120,15
2/22/2023 2:00,120,16
2/22/2023 3:00,108,16.5
2/22/2023 4:00,112,17
2/22/2023 5:00,120,16
2/22/2023 6:00,116,16.5
2/22/2023 7:00,140,13.5
2/22/2023 8:00,160,14
2/22/2023 9:00,136,14
2/22/2023 10:00,128,14
2/22/2023 11:00,152,14
2/22/2023 12:00,140,13.5
2/22/2023 13:00,144,14.5
2/22/2023 14:00,132,14.5
2/22/2023 15:00,136,15
2/22/2023 16:00,140,15
2/22/2023 17:00,120,14.5
2/22/2023 18:00,128,14
2/22/2023 19:00,144,14
2/22/2023 20:00,132,14.5
2/22/2023 21:00,140,14
2/22/2023 22:00,156,14.5
2/22/2023 23:00,124,14
2/23/2023 0:00,112,14.5
2/23/2023 1:00,112,15.5
2/23/2023 2:00,112,16
2/23/2023 3:00,104,17
2/23/2023 4:00,116,17
2/23/2023 5:00,112,16.5
2/23/2023 6:00,104,15
2/23/2023 7:00,132,13.5
2/23/2023 8:00,132,13.5
2/23/2023 9:00,112,13.5
2/23/2023 10:00,144,14
2/23/2023 11:00,144,14
2/23/2023 12:00,136,14
2/23/2023 13:00,132,14
2/23/2023 14:00,124,14.5
2/23/2023 15:00,136,14.5
2/23/2023 16:00,124,14
2/23/2023 17:00,136,13.5
2/23/2023 18:00,136,13
2/23/2023 19:00,160,13
2/23/2023 20:00,136,14
2/23/2023 21:00,156,14
2/23/2023 22:00,152,14
2/23/2023 23:00,116,13
2/24/2023 0:00,120,14
2/24/2023 1:00,116,15
2/24/2023 2:00,124,16
2/24/2023 3:00,112,16.5
2/24/2023 4:00,112,17
2/24/2023 5:00,112,16
2/24/2023 6:00,112,14.5
2/24/2023 7:00,144,14
2/24/2023 8:00,168,14
2/24/2023 9:00,156,14
2/24/2023 10:00,148,14.5
2/24/2023 11:00,160,14
2/24/2023 12:00,160,14
2/24/2023 13:00,116,14.5
2/24/2023 14:00,136,14.5
2/24/2023 15:00,160,16.5
2/24/2023 16:00,140,14
2/24/2023 17:00,136,13.5
2/24/2023 18:00,168,12.5
2/24/2023 19:00,184,13
2/24/2023 20:00,176,13.5
2/24/2023 21:00,160,14
2/24/2023 22:00,160,13.5
2/24/2023 23:00,136,13.5
2/25/2023 0:00,124,14
2/25/2023 1:00,136,15
2/25/2023 2:00,112,16
2/25/2023 3:00,112,16.5
2/25/2023 4:00,120,16.5
2/25/2023 5:00,108,16.5
2/25/2023 6:00,128,15
2/25/2023 7:00,132,14
2/25/2023 8:00,148,14
2/25/2023 9:00,136,13.5
2/25/2023 10:00,164,13
2/25/2023 11:00,152,12.5
2/25/2023 12:00,156,13
2/25/2023 13:00,144,13
2/25/2023 14:00,136,14
2/25/2023 15:00,124,13.5
2/25/2023 16:00,132,13
2/25/2023 17:00,156,13
2/25/2023 18:00,148,13
2/25/2023 19:00,148,13
2/25/2023 20:00,160,13.5
2/25/2023 21:00,152,13.5
2/25/2023 22:00,140,13
2/25/2023 23:00,140,14
2/26/2023 0:00,120,14
2/26/2023 1:00,132,15
2/26/2023 2:00,124,15.5
2/26/2023 3:00,112,16.5
2/26/2023 4:00,120,17
2/26/2023 5:00,124,16.5
2/26/2023 6:00,128,15.5
2/26/2023 7:00,140,15.5
2/26/2023 8:00,116,13.5
2/26/2023 9:00,144,13
2/26/2023 10:00,180,13
2/26/2023 11:00,140,12.5
2/26/2023 12:00,148,12.5
2/26/2023 13:00,136,13
2/26/2023 14:00,148,14
2/26/2023 15:00,152,13.5
2/26/2023 16:00,136,13.5
2/26/2023 17:00,144,13.5
2/26/2023 18:00,156,13
2/26/2023 19:00,156,12.5
2/26/2023 20:00,148,13
2/26/2023 21:00,148,13.5
2/26/2023 22:00,152,13.5
2/26/2023 23:00,148,14
2/27/2023 0:00,132,14
2/27/2023 1:00,132,15
2/27/2023 2:00,116,15.5
2/27/2023 3:00,112,16.5
2/27/2023 4:00,108,16.5
2/27/2023 5:00,124,16
2/27/2023 6:00,116,15
2/27/2023 7:00,152,13.5
2/27/2023 8:00,160,14
2/27/2023 9:00,152,13.5
2/27/2023 10:00,164,14
2/27/2023 11:00,156,14
2/27/2023 12:00,152,13.5
2/27/2023 13:00,148,14.5
2/27/2023 14:00,136,14
2/27/2023 15:00,140,14.5
2/27/2023 16:00,148,14.5
2/27/2023 17:00,140,13.5
2/27/2023 18:00,156,13
2/27/2023 19:00,160,13
2/27/2023 20:00,172,13.5
2/27/2023 21:00,156,13.5
2/27/2023 22:00,132,13.5
2/27/2023 23:00,120,13.5
2/28/2023 0:00,120,14.5
2/28/2023 1:00,128,15.5
2/28/2023 2:00,108,16
2/28/2023 3:00,108,16.5
2/28/2023 4:00,112,17
2/28/2023 5:00,124,16.5
2/28/2023 6:00,132,14.5
2/28/2023 7:00,136,13.5
2/28/2023 8:00,156,14
2/28/2023 9:00,148,14
2/28/2023 10:00,160,14
2/28/2023 11:00,160,13.5
2/28/2023 12:00,144,13.5
2/28/2023 13:00,120,11.5
2/28/2023 14:00,152,14
2/28/2023 15:00,144,15
2/28/2023 16:00,148,15
2/28/2023 17:00,164,14
2/28/2023 18:00,164,13
2/28/2023 19:00,164,13
2/28/2023 20:00,140,13
2/28/2023 21:00,164,13.5
2/28/2023 22:00,136,13.5
2/28/2023 23:00,152,13.5
3/1/2023 0:00,148,14.5
3/1/2023 1:00,132,15
3/1/2023 2:00,136,16
3/1/2023 3:00,112,16.5
3/1/2023 4:00,120,17
3/1/2023 5:00,116,16
3/1/2023 6:00,116,14
3/1/2023 7:00,140,13.5
3/1/2023 8:00,168,13.5
3/1/2023 9:00,148,13
3/1/2023 10:00,152,13
3/1/2023 11:00,140,13
3/1/2023 12:00,148,13
3/1/2023 13:00,152,13.5
3/1/2023 14:00,148,14
3/1/2023 15:00,136,14
3/1/2023 16:00,140,14
3/1/2023 17:00,164,13.5
3/1/2023 18:00,164,14
3/1/2023 19:00,160,13.5
3/1/2023 20:00,184,13
3/1/2023 21:00,152,13
3/1/2023 22:00,172,13
3/1/2023 23:00,136,14
3/2/2023 0:00,120,14
3/2/2023 1:00,132,15
3/2/2023 2:00,120,15.5
3/2/2023 3:00,116,16
3/2/2023 4:00,116,16.5
3/2/2023 5:00,120,16
3/2/2023 6:00,124,14
3/2/2023 7:00,144,12.5
3/2/2023 8:00,152,13.5
3/2/2023 9:00,108,14
3/2/2023 10:00,104,14
3/2/2023 11:00,108,13.5
3/2/2023 12:00,112,14.5
3/2/2023 13:00,112,14
3/2/2023 14:00,104,14.5
3/2/2023 15:00,108,15
3/2/2023 16:00,112,15.5
3/2/2023 17:00,112,15
3/2/2023 18:00,116,15
3/2/2023 19:00,120,14.5
3/2/2023 20:00,120,15
3/2/2023 21:00,112,15
3/2/2023 22:00,112,15
3/2/2023 23:00,104,14
3/3/2023 0:00,88,15
3/3/2023 1:00,80,15.5
3/3/2023 2:00,80,16.5
3/3/2023 3:00,84,17
3/3/2023 4:00,80,17
3/3/2023 5:00,84,16.5
3/3/2023 6:00,84,14.5
